epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3318,1.56699,2.44924,1.60834,0.9744,0.21815,0.76662,0.40531,1.2492,2.80066,1.40329,0.000651852,0.000651852,0.000651852
2,16.0265,1.57477,1.86278,1.57471,0.67254,0.56447,0.67358,0.37773,1.42249,2.27133,1.51404,0.00131199,0.00131199,0.00131199
3,21.6032,1.60317,1.62265,1.59974,0.04559,0.06017,0.00959,0.00321,2.95038,3.50501,2.93758,0.00196553,0.00196553,0.00196553
4,27.168,1.6381,1.53181,1.62284,0.24388,0.44084,0.27318,0.13962,1.56957,2.34219,1.63075,0.0019703,0.0019703,0.0019703
5,32.7405,1.6248,1.41583,1.60423,0.08092,0.74775,0.07336,0.0385,1.54526,10.3099,1.61028,0.0019604,0.0019604,0.0019604
6,38.2949,1.6026,1.35222,1.58415,0.79987,0.82454,0.85935,0.46925,1.58799,1.1736,1.47946,0.0019505,0.0019505,0.0019505
7,43.9066,1.56633,1.32062,1.56195,0.8822,0.87679,0.91463,0.51486,1.46645,1.2381,1.4074,0.0019406,0.0019406,0.0019406
8,49.4755,1.52829,1.29577,1.53097,0.87472,0.88028,0.92399,0.563,1.34229,0.96784,1.34735,0.0019307,0.0019307,0.0019307
9,55.1281,1.52536,1.26282,1.53592,0.60277,0.50716,0.50702,0.31129,1.7156,1.62345,1.77701,0.0019208,0.0019208,0.0019208
10,60.658,1.49013,1.26978,1.52903,0.91261,0.92758,0.94448,0.64332,1.1218,0.75316,1.21964,0.0019109,0.0019109,0.0019109
11,66.2835,1.49316,1.21667,1.52153,0.8828,0.88493,0.91896,0.49585,1.59194,1.02549,1.43416,0.001901,0.001901,0.001901
12,71.8313,1.46137,1.18788,1.47994,0.85976,0.7937,0.86495,0.53081,1.37553,0.92919,1.44749,0.0018911,0.0018911,0.0018911
13,77.3762,1.4513,1.17252,1.4774,0.90671,0.94689,0.95933,0.65561,1.10037,0.72781,1.18568,0.0018812,0.0018812,0.0018812
14,82.9558,1.42952,1.17508,1.4715,0.92369,0.9341,0.9606,0.70391,0.99313,0.65313,1.15334,0.0018713,0.0018713,0.0018713
15,88.5695,1.42289,1.14246,1.46023,0.92164,0.94556,0.95967,0.58039,1.2978,0.83702,1.28148,0.0018614,0.0018614,0.0018614
