epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0733,1.21656,5.11454,0.00915,0.79323,0.69053,0.78791,0.49179,1.36326,4.57204,0.01198,0.000661333,0.000661333,0.000661333
2,41.1556,1.28102,2.42955,0.00975,0.83301,0.763,0.82854,0.56915,1.22413,1.13518,0.01205,0.00131485,0.00131485,0.00131485
3,58.7117,1.32204,1.5476,0.01031,0.83824,0.73064,0.82165,0.57105,1.23192,0.94043,0.01382,0.00195517,0.00195517,0.00195517
4,76.2921,1.33599,1.29293,0.01047,0.86469,0.74766,0.83679,0.50421,1.51274,1.02946,0.01523,0.0019406,0.0019406,0.0019406
5,93.7366,1.32773,1.21602,0.01103,0.88996,0.77642,0.86479,0.52484,1.49088,0.91494,0.01495,0.0019208,0.0019208,0.0019208
6,111.215,1.29106,1.12725,0.01036,0.82726,0.753,0.82967,0.6353,0.99392,0.90674,0.01041,0.001901,0.001901,0.001901
7,128.762,1.26795,1.06589,0.00994,0.84231,0.83327,0.88719,0.70511,0.89806,0.64059,0.00911,0.0018812,0.0018812,0.0018812
8,146.373,1.27187,1.0322,0.01002,0.89811,0.82859,0.89146,0.67781,1.00956,0.68703,0.01042,0.0018614,0.0018614,0.0018614
9,163.856,1.25699,0.9893,0.00964,0.87771,0.829,0.88532,0.60244,1.24567,0.93955,0.01116,0.0018416,0.0018416,0.0018416
10,181.332,1.26713,0.9889,0.00994,0.92329,0.831,0.90458,0.6562,1.12314,0.63607,0.01087,0.0018218,0.0018218,0.0018218
11,198.804,1.24794,0.95919,0.0096,0.90599,0.832,0.8973,0.70162,0.9585,0.6223,0.01007,0.001802,0.001802,0.001802
12,216.302,1.24191,0.95039,0.00982,0.89623,0.818,0.89589,0.64676,1.10452,0.67433,0.01014,0.0017822,0.0017822,0.0017822
13,233.786,1.22468,0.94989,0.00972,0.9304,0.857,0.91732,0.65079,1.1181,0.59468,0.01003,0.0017624,0.0017624,0.0017624
14,251.285,1.24856,0.93925,0.00985,0.93107,0.85097,0.91827,0.74391,0.84873,0.54116,0.00898,0.0017426,0.0017426,0.0017426
15,268.916,1.21205,0.92161,0.00965,0.90633,0.871,0.91888,0.66066,1.17582,0.61694,0.01156,0.0017228,0.0017228,0.0017228
