epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.9244,1.26277,2.06226,1.23107,0.93113,0.761,0.86116,0.5401,1.42029,1.60962,1.17631,0.00992,0.00330667,0.00992,0.00330667,0.00992,0.00330667,0.00992,0.00330667
2,44.9641,1.26135,1.28084,1.20586,0.88719,0.777,0.83799,0.51471,1.36127,1.09628,1.20357,0.0198214,0.00660713,0.0198214,0.00660713,0.0198214,0.00660713,0.0198214,0.00660713
3,63.29,1.33224,1.20823,1.25238,0.82305,0.743,0.80632,0.50638,1.30929,1.43554,1.28446,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746
4,81.7555,1.3637,1.18964,1.27716,0.78035,0.72,0.72992,0.27845,2.06352,1.86276,1.681,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,100.175,1.34166,1.1248,1.28286,0.83509,0.485,0.56175,0.27081,1.97197,1.83813,1.60513,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,118.54,1.28663,1.04155,1.23924,0.88704,0.80885,0.86886,0.62582,1.08432,0.84407,1.16093,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,136.918,1.24504,0.97819,1.22112,0.91856,0.835,0.88648,0.61905,1.08448,0.81099,1.11732,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,155.368,1.2348,0.95558,1.21964,0.92064,0.85843,0.89933,0.65726,0.98788,0.70829,1.08674,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,173.714,1.20336,0.90701,1.19556,0.92917,0.83959,0.89525,0.66924,0.96942,0.77057,1.06277,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,192.123,1.20307,0.90051,1.19558,0.94782,0.87195,0.91154,0.65642,1.05088,0.68832,1.10063,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,210.502,1.18906,0.88084,1.18705,0.93351,0.779,0.85498,0.64771,0.9799,0.88384,1.09655,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,228.864,1.17145,0.86387,1.18236,0.95163,0.856,0.90571,0.67305,0.97568,0.66829,1.08387,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,247.242,1.17204,0.86705,1.188,0.93224,0.857,0.90842,0.68958,0.93301,0.6674,1.09236,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,265.755,1.15293,0.849,1.17361,0.92716,0.872,0.91738,0.73011,0.83367,0.61262,1.01624,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,284.119,1.13217,0.83499,1.16155,0.965,0.865,0.91944,0.68405,0.96174,0.60455,1.0584,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,302.49,1.11814,0.80662,1.15044,0.95331,0.871,0.92234,0.70683,0.88374,0.58659,1.02555,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,320.79,1.11947,0.79593,1.14991,0.96725,0.889,0.93172,0.7461,0.79347,0.54828,0.98828,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,339.261,1.10981,0.79175,1.15234,0.93999,0.872,0.92202,0.71712,0.85112,0.60997,1.01569,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,357.578,1.09949,0.78791,1.14803,0.94928,0.863,0.89793,0.69617,0.88553,0.66354,1.03408,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,375.911,1.10049,0.77873,1.14244,0.95005,0.909,0.94008,0.71469,0.95561,0.55927,1.03948,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,394.246,1.08867,0.76465,1.12951,0.94094,0.90804,0.93792,0.74536,0.80252,0.52253,0.98586,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,412.542,1.08389,0.76406,1.13763,0.98008,0.881,0.92756,0.7135,0.8992,0.57916,1.0254,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,430.847,1.09463,0.76365,1.14151,0.95883,0.896,0.92639,0.75948,0.74836,0.53882,0.98045,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,449.302,1.09104,0.76543,1.14567,0.96888,0.908,0.94561,0.73536,0.85645,0.49767,0.99469,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,467.54,1.07338,0.74421,1.13306,0.98237,0.89144,0.94361,0.75869,0.785,0.4949,0.99575,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,485.849,1.06809,0.73906,1.12438,0.9555,0.90183,0.94145,0.76651,0.75467,0.49608,0.98057,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,504.252,1.05977,0.73937,1.13259,0.9633,0.89237,0.93498,0.74872,0.80439,0.50408,1.00223,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,522.547,1.05317,0.72071,1.12394,0.96892,0.90411,0.9423,0.74316,0.84378,0.49934,0.98821,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,540.799,1.05268,0.73038,1.11534,0.97579,0.895,0.93424,0.76192,0.74322,0.49845,0.96833,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,559.14,1.04551,0.71118,1.10993,0.97574,0.887,0.93822,0.72779,0.84313,0.51311,1.00042,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,577.468,1.05086,0.7138,1.1136,0.95911,0.89122,0.93864,0.77026,0.74436,0.48471,0.96814,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,595.87,1.03454,0.71031,1.10846,0.96599,0.892,0.93529,0.77,0.74349,0.4894,0.97086,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,614.122,1.02774,0.70303,1.10368,0.98392,0.885,0.93904,0.6955,1.03429,0.53338,1.0473,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,632.506,1.035,0.71138,1.11401,0.95132,0.904,0.9335,0.7362,0.85729,0.52482,0.99784,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
