epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8275,1.29943,2.61374,1.52648,0.86835,0.832,0.90137,0.44267,1.77554,3.05361,1.89769,0.000664,0.000664,0.000664
2,59.3306,1.19422,0.76418,1.43551,0.81258,0.826,0.7846,0.22331,2.29382,1.60171,2.57755,0.00131749,0.00131749,0.00131749
3,86.9515,1.16521,0.69691,1.41017,0.82601,0.885,0.87028,0.36645,1.90657,1.01321,1.98412,0.00195779,0.00195779,0.00195779
4,114.46,1.13577,0.66395,1.38157,0.82401,0.85,0.8347,0.22144,2.43269,1.3111,2.53865,0.0019406,0.0019406,0.0019406
5,141.912,1.06457,0.60043,1.3257,0.94638,0.944,0.93779,0.3727,2.15545,0.81689,2.23653,0.0019208,0.0019208,0.0019208
6,169.411,1.00561,0.52718,1.27078,0.9093,0.91231,0.87499,0.34015,2.22069,0.82389,2.33085,0.001901,0.001901,0.001901
7,196.969,0.97581,0.5109,1.24597,0.98465,0.983,0.99352,0.49412,1.79547,0.74943,1.70362,0.0018812,0.0018812,0.0018812
8,224.782,0.9489,0.50065,1.22504,0.97538,0.979,0.97932,0.46386,1.87841,0.68197,1.83797,0.0018614,0.0018614,0.0018614
9,252.212,0.91101,0.47216,1.20564,0.98351,0.988,0.98434,0.45932,1.92317,0.65735,1.87934,0.0018416,0.0018416,0.0018416
10,279.624,0.88947,0.45029,1.18623,0.99548,0.997,0.99498,0.70483,1.15844,0.4837,1.27138,0.0018218,0.0018218,0.0018218
11,307.42,0.85367,0.43341,1.16638,0.98952,0.98,0.99442,0.73759,1.01352,0.45967,1.18624,0.001802,0.001802,0.001802
12,335.366,0.84603,0.41937,1.15679,0.99202,0.997,0.99492,0.69228,1.1636,0.4687,1.26181,0.0017822,0.0017822,0.0017822
13,362.852,0.82912,0.41276,1.14233,0.999,0.99565,0.99498,0.73622,1.02382,0.43804,1.15341,0.0017624,0.0017624,0.0017624
14,390.311,0.81991,0.39958,1.13467,0.99621,0.994,0.99493,0.78768,0.87298,0.41928,1.08024,0.0017426,0.0017426,0.0017426
15,418.103,0.79937,0.38895,1.12388,0.98969,0.999,0.99487,0.78944,0.86806,0.4198,1.0875,0.0017228,0.0017228,0.0017228
16,445.975,0.78423,0.39283,1.11155,0.99699,0.99486,0.99497,0.75728,0.95704,0.43237,1.12368,0.001703,0.001703,0.001703
17,473.502,0.78929,0.38153,1.11655,0.9612,0.999,0.99356,0.81711,0.72032,0.52559,1.01676,0.0016832,0.0016832,0.0016832
