epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.2435,1.37368,2.53727,1.37675,0.83874,0.79501,0.85115,0.49819,1.39753,1.15187,1.2521,0.0099697,0.00332323,0.0099697,0.00332323,0.0099697,0.00332323,0.0099697,0.00332323
2,119.481,1.38697,1.43566,1.36598,0.77146,0.73965,0.80723,0.50134,1.30409,1.12705,1.27852,0.0198708,0.00662362,0.0198708,0.00662362,0.0198708,0.00662362,0.0198708,0.00662362
3,170.32,1.50783,1.46012,1.4549,0.60245,0.60086,0.59971,0.28593,1.71196,3.05657,1.61045,0.029673,0.009891,0.029673,0.009891,0.029673,0.009891,0.029673,0.009891
4,230.203,1.55956,1.47566,1.50948,0.82587,0.76811,0.82602,0.43283,1.61981,1.42496,1.47799,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,293.465,1.46563,1.30979,1.45591,0.89749,0.82832,0.9026,0.57072,1.37417,0.88791,1.32177,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,354.227,1.42195,1.24852,1.42651,0.85153,0.86075,0.88094,0.57241,1.255,0.87222,1.27248,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,404.065,1.37936,1.18586,1.40139,0.92717,0.88442,0.93393,0.62513,1.24413,0.71997,1.23997,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,453.976,1.34866,1.1338,1.38453,0.90805,0.9036,0.93289,0.70099,0.95289,0.67717,1.12323,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,503.776,1.32001,1.10649,1.36701,0.94752,0.90999,0.94932,0.71557,0.94247,0.61367,1.12525,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,553.707,1.2944,1.05746,1.34608,0.92323,0.89897,0.93529,0.67858,1.00643,0.64694,1.13496,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,603.424,1.27474,1.04393,1.34265,0.94344,0.90766,0.9455,0.70943,0.98561,0.61438,1.12275,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,653.163,1.24109,1.00103,1.3205,0.95408,0.9243,0.96073,0.71814,0.96165,0.56754,1.09389,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,703.073,1.22731,1.0001,1.30227,0.95086,0.91913,0.9473,0.74836,0.82346,0.55733,1.03964,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,752.881,1.20269,0.97907,1.28595,0.93168,0.89391,0.94351,0.68259,1.07598,0.62323,1.13371,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,802.696,1.16573,0.94215,1.26849,0.97085,0.92706,0.95993,0.75282,0.83282,0.51614,1.04419,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,852.604,1.14326,0.93229,1.25667,0.95154,0.93033,0.95749,0.73859,0.91576,0.55139,1.06965,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,902.277,1.12274,0.90587,1.24231,0.9559,0.92649,0.95923,0.75827,0.84685,0.54041,1.04686,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,952.053,1.11432,0.8929,1.23653,0.96466,0.93472,0.95573,0.76189,0.8236,0.50837,1.03376,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
