epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5466,1.174,5.16526,0.68636,1.38048,1.38874,0.85093,0.84281,0.90835,0.65255,0.55538,0.56522,0.43542,0.0772,0.9448,4.01096,0.60974,0.83053,1.15012,0.000657778,0.000657778,0.000657778
2,18.8079,0.90934,3.98401,0.62169,0.67933,1.13667,0.63036,0.86123,0.75704,0.54675,0.48838,0.66725,0.45806,0.0993,0.85285,3.70335,0.37501,2.13975,1.13341,0.00131133,0.00131133,0.00131133
3,24.2507,0.86393,3.68217,0.54509,0.65727,1.1092,0.86033,0.65886,0.76288,0.52236,0.56125,0.49199,0.42086,0.08973,1.12669,3.98748,0.22051,1.3261,1.36349,0.00195169,0.00195169,0.00195169
4,29.6434,0.86846,3.56617,0.47746,0.64669,1.11758,0.89955,0.89632,0.9416,0.72225,0.71762,0.73579,0.64785,0.14152,0.78659,3.49998,0.14218,0.84882,1.06937,0.0019406,0.0019406,0.0019406
5,35.0313,0.81343,3.45395,0.46178,0.60144,1.09314,0.95965,0.94983,0.98706,0.81911,0.78587,0.7733,0.69971,0.16389,0.66046,3.4283,0.10928,0.4788,0.97055,0.0019208,0.0019208,0.0019208
6,40.4171,0.79328,3.46018,0.41009,0.57609,1.07179,0.97687,0.98858,0.99321,0.83746,0.84997,0.85261,0.78533,0.17833,0.64983,3.24851,0.07605,0.57959,0.96563,0.001901,0.001901,0.001901
7,45.8366,0.75853,3.32613,0.37706,0.54143,1.05366,0.95725,0.97352,0.98765,0.80374,0.84042,0.81023,0.73492,0.16946,0.70508,3.32183,0.0607,0.49231,0.97988,0.0018812,0.0018812,0.0018812
8,51.1702,0.74551,3.30093,0.36362,0.53506,1.05489,0.99308,1,0.99473,0.86894,0.87583,0.87291,0.7932,0.19943,0.55907,3.15188,0.05284,0.35475,0.90816,0.0018614,0.0018614,0.0018614
9,56.582,0.71133,3.23809,0.33363,0.51513,1.02398,0.99333,0.99576,0.99286,0.8515,0.85656,0.85877,0.79766,0.19348,0.59442,3.20356,0.06541,0.39081,0.93183,0.0018416,0.0018416,0.0018416
10,61.9544,0.70175,3.30231,0.30783,0.50505,1.02729,0.9548,0.98912,0.98735,0.85273,0.83366,0.8884,0.80473,0.18986,0.5787,3.15449,0.03142,0.4312,0.92591,0.0018218,0.0018218,0.0018218
11,67.2925,0.70992,3.22694,0.30476,0.49986,1.03428,0.97361,0.99666,0.99171,0.83774,0.83495,0.85619,0.78524,0.21394,0.64356,3.16175,0.0718,0.41994,0.93439,0.001802,0.001802,0.001802
12,72.6368,0.69477,3.1886,0.29178,0.49027,1.02613,0.97255,0.97993,0.98783,0.84515,0.86301,0.86957,0.80747,0.21022,0.58222,3.07195,0.04294,0.49065,0.93326,0.0017822,0.0017822,0.0017822
13,78.01,0.67688,3.15641,0.28624,0.49111,1.01918,0.98746,0.99331,0.99466,0.86908,0.8783,0.88294,0.82255,0.20501,0.54954,3.10825,0.04623,0.39269,0.90911,0.0017624,0.0017624,0.0017624
14,83.3561,0.62749,3.15885,0.26806,0.44784,0.99158,0.98412,0.98997,0.99389,0.88873,0.86759,0.87291,0.81911,0.20568,0.46852,3.12547,0.02765,0.39543,0.87384,0.0017426,0.0017426,0.0017426
15,88.7361,0.61157,3.09606,0.2655,0.43577,0.98309,0.98807,0.99666,0.99449,0.87663,0.88171,0.88963,0.84307,0.21615,0.4985,3.04674,0.05829,0.34094,0.8858,0.0017228,0.0017228,0.0017228
16,94.0971,0.64059,3.16927,0.27487,0.45321,1.00895,0.99545,0.99666,0.99376,0.87786,0.90185,0.90301,0.83607,0.21504,0.5033,3.05078,0.03393,0.34567,0.9046,0.001703,0.001703,0.001703
17,99.4122,0.61777,3.08583,0.2615,0.45015,0.99662,0.98832,0.99331,0.99476,0.88979,0.88516,0.88963,0.84166,0.21933,0.46948,3.04708,0.02959,0.32728,0.8913,0.0016832,0.0016832,0.0016832
18,104.744,0.59678,3.1326,0.26332,0.42213,0.97769,0.98952,0.98997,0.99262,0.90148,0.87896,0.8796,0.81923,0.21134,0.44347,3.05962,0.03329,0.31344,0.85057,0.0016634,0.0016634,0.0016634
19,110.208,0.60198,3.06567,0.26523,0.43067,0.98822,0.98936,1,0.9918,0.89414,0.90332,0.91304,0.85191,0.23466,0.46688,3.02148,0.03402,0.31354,0.86833,0.0016436,0.0016436,0.0016436
20,115.609,0.60686,3.0159,0.25266,0.42104,0.9882,0.99417,0.99666,0.99366,0.89297,0.89274,0.89079,0.84202,0.21699,0.47047,3.05487,0.02169,0.32423,0.86085,0.0016238,0.0016238,0.0016238
