epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0155,1.71307,4.06032,0.6485,1.69932,1.94204,0.82679,0.71598,0.80997,0.28424,0.61055,0.51734,0.49075,0.08222,2.21345,4.03976,0.58841,1.34258,2.43693,0.000657778,0.000657778,0.000657778
2,14.4436,1.23552,2.88334,0.44614,0.71227,1.45863,0.55879,0.80333,0.54604,0.16834,0.34316,0.49333,0.22114,0.03512,2.31555,4.1161,0.31339,1.5456,2.34947,0.00131789,0.00131789,0.00131789
3,19.9561,1.14372,2.64758,0.19432,0.65312,1.377,0.87288,0.90667,0.9352,0.46936,0.26745,0.3,0.16047,0.02652,1.60875,4.36287,0.07036,2.12645,1.64383,0.0019714,0.0019714,0.0019714
4,25.3775,1.15894,2.63437,0.08065,0.65986,1.39262,0.9357,0.83333,0.92175,0.57803,0.6588,0.62,0.52179,0.1089,1.3083,3.7154,0.0573,1.03589,1.3876,0.0019703,0.0019703,0.0019703
5,30.8427,1.06683,2.53005,0.04078,0.59918,1.32464,0.91315,0.96,0.96898,0.5627,0.71365,0.75598,0.62344,0.12685,1.50364,3.56043,0.04792,0.84713,1.50774,0.0019604,0.0019604,0.0019604
6,36.2245,1.02684,2.4756,0.03207,0.56502,1.28925,0.96869,0.98667,0.99287,0.72359,0.71909,0.72531,0.57921,0.12164,1.01918,3.5669,0.02175,0.66186,1.21149,0.0019505,0.0019505,0.0019505
7,41.6239,1.01808,2.48753,0.0204,0.55629,1.29638,0.89862,0.94667,0.96633,0.60726,0.61805,0.68,0.50034,0.10939,1.30489,3.63374,0.02025,0.71023,1.3429,0.0019406,0.0019406,0.0019406
8,47.0168,0.95393,2.39712,0.01721,0.53582,1.23989,0.91569,0.85667,0.91937,0.62244,0.6016,0.57383,0.45848,0.09008,1.08549,4.17122,0.03074,0.81116,1.25969,0.0019307,0.0019307,0.0019307
9,52.4946,0.90797,2.29706,0.01312,0.49092,1.2087,0.98667,0.98696,0.99457,0.64736,0.7474,0.74,0.6353,0.16483,1.26609,3.31964,0.00763,0.62864,1.3426,0.0019208,0.0019208,0.0019208
10,57.8603,0.90309,2.30371,0.01103,0.48177,1.20813,0.93092,0.92667,0.96699,0.69929,0.76299,0.70667,0.64834,0.13118,0.9637,3.6137,0.02313,0.67521,1.21067,0.0019109,0.0019109,0.0019109
