epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7658,1.99298,3.78207,0.59435,1.78292,0.04398,17.1285,0.49963,0.45,0.27304,0.05307,0.71276,0.66,0.53452,0.09067,3.43042,3.98608,0.36991,1.78239,0.0939,0,0.000657778,0.000657778,0.000657778
2,19.5242,1.60824,2.71294,0.2594,0.47079,0.03362,10.4109,0.68488,0.71667,0.55142,0.11663,0.74589,0.77667,0.7236,0.16487,3.1506,3.54457,0.04791,0.87817,0.07692,0,0.00131789,0.00131789,0.00131789
3,27.2003,1.37505,2.45961,0.05992,0.37193,0.02794,9.31194,0.90252,0.9,0.84955,0.21657,0.74437,0.75667,0.62241,0.12023,2.8426,3.70573,0.01254,0.70435,0.06196,0,0.0019714,0.0019714,0.0019714
4,34.9731,1.22111,2.41613,0.03709,0.31511,0.02458,8.894,0.94666,0.94651,0.94344,0.39465,0.79119,0.79667,0.71411,0.17733,2.16036,3.39783,0.0166,0.52426,0.0449,0,0.0019703,0.0019703,0.0019703
5,42.8194,1.09129,2.34644,0.02636,0.30592,0.02188,8.49436,0.99207,0.98333,0.99227,0.55096,0.78692,0.77554,0.74947,0.16554,1.57688,3.49332,0.01189,0.38371,0.03161,0,0.0019604,0.0019604,0.0019604
6,50.5219,1.03537,2.33922,0.01917,0.27621,0.02056,8.37685,0.99335,0.99628,0.99493,0.53173,0.80723,0.79667,0.7998,0.18444,1.83137,3.46292,0.00851,0.42898,0.03477,0,0.0019505,0.0019505,0.0019505
7,58.2769,1.01007,2.34348,0.01761,0.27236,0.02013,8.43026,0.99333,0.99232,0.9949,0.60536,0.81703,0.81866,0.78306,0.19097,1.5667,3.35284,0.0096,0.38204,0.03083,0,0.0019406,0.0019406,0.0019406
8,66.1275,0.92693,2.33514,0.01579,0.28975,0.01818,8.29131,0.98989,0.97896,0.99431,0.79447,0.8445,0.80667,0.82354,0.20883,0.83779,3.35925,0.00903,0.26864,0.01414,0,0.0019307,0.0019307,0.0019307
9,73.8257,0.87481,2.30686,0.01271,0.25973,0.01721,7.96191,0.99006,0.99646,0.99466,0.74597,0.7944,0.79,0.78609,0.19564,1.05308,3.40769,0.00555,0.27482,0.019,0,0.0019208,0.0019208,0.0019208
10,81.4944,0.86277,2.29199,0.01112,0.23817,0.01709,7.76902,0.99585,0.99333,0.99493,0.70467,0.86162,0.81,0.85886,0.22852,1.13713,3.30368,0.00602,0.27755,0.01962,0,0.0019109,0.0019109,0.0019109
